Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,chip_antibody,antibody_vendor
SRR1239489,ChIP-Seq,40,327177560,PRJNA244740,SAMN02728380,235604292,MCF7,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518248,GSM1369943,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369943,Human breast cells,SRP041210,H3,Abcam
SRR1239490,ChIP-Seq,40,587575240,PRJNA244740,SAMN02728391,419201762,MCF7,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518249,GSM1369944,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369944,Human breast cells,SRP041210,AGO1,Millipore
SRR1239491,ChIP-Seq,40,18073800,PRJNA244740,SAMN02728385,5632486,MCF7,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518250,GSM1369945,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369945,Human breast cells,SRP041210,H3K9me2,Millipore
SRR1239492,ChIP-Seq,40,571032720,PRJNA244740,SAMN02728381,359741958,MCF7,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518251,GSM1369946,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369946,Human breast cells,SRP041210,H3K36me3,Abcam
SRR1239493,ChIP-Seq,40,436458320,PRJNA244740,SAMN02728390,305606059,MCF7,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518252,GSM1369947,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369947,Human breast cells,SRP041210,,Millipore
SRR1239494,ChIP-Seq,32,342318464,PRJNA244740,SAMN02728388,212178213,MCF7,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518253,GSM1369948,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369948,Human breast cells,SRP041210,HP1_alpha,Abcam
SRR1239495,ChIP-Seq,36,1146575124,PRJNA244740,SAMN02728383,641443133,MCF7,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518254,GSM1369949,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369949,Human breast cells,SRP041210,5metC,Diagenode
SRR1239496,ChIP-Seq,40,611892400,PRJNA244740,SAMN02728392,402770328,MCF10A,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518255,GSM1369950,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369950,Human breast cells,SRP041210,H3,Abcam
SRR1239497,ChIP-Seq,40,587575240,PRJNA244740,SAMN02728387,419201638,MCF10A,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518256,GSM1369951,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369951,Human breast cells,SRP041210,AGO1,Millipore
SRR1239498,ChIP-Seq,40,591292560,PRJNA244740,SAMN02728382,394846613,MCF10A,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX518257,GSM1369952,Illumina Genome Analyzer IIx,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2014-09-29T00:00:00Z,GSM1369952,Human breast cells,SRP041210,H3K9me2,Millipore
