,Unnamed: 0,Unnamed: 0.1,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment,aggregate_column
0,0,0,SRR3997177,ChIP-Seq,36,2248490196,PRJNA336352,SAMN05509472,1534463096,76NF2V,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997933,GSM2258688,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258688,"76NF2V cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
1,1,1,SRR3997179,ChIP-Seq,36,2225119140,PRJNA336352,SAMN05509474,1525201238,76NF2V,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997935,GSM2258690,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258690,"76NF2V cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
2,2,2,SRR3997181,ChIP-Seq,36,2119971024,PRJNA336352,SAMN05509476,1473109080,76NF2V,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997937,GSM2258692,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258692,"76NF2V cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
3,3,3,SRR3997184,ChIP-Seq,36,1538081784,PRJNA336352,SAMN05509465,1061985473,76NF2V,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580\, lot GR1902371-1 and GR224370-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997940,GSM2258695,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258695,"76NF2V cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
4,4,4,SRR3997186,ChIP-Seq,36,1529353800,PRJNA336352,SAMN05509470,1118031305,76NF2V,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594\, lot GR201271-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997942,GSM2258697,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258697,"76NF2V cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
5,5,5,SRR3997187,ChIP-Seq,36,2051683344,PRJNA336352,SAMN05509469,1455509203,76NF2V,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997943,GSM2258698,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258698,"76NF2V cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
6,6,6,SRR3997189,ChIP-Seq,36,2039149224,PRJNA336352,SAMN05509467,1473522445,76NF2V,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997945,GSM2258700,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258700,"76NF2V cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
7,7,7,SRR3997190,ChIP-Seq,36,1503274860,PRJNA336352,SAMN05509746,1084349416,76NF2V,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898\, lot GR237138-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997946,GSM2258701,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258701,"76NF2V cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
8,8,8,SRR3997191,ChIP-Seq,36,1732543236,PRJNA336352,SAMN05509745,1203948215,76NF2V,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997947,GSM2258702,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258702,"76NF2V cells\, input",SRP080870,Control,Input
9,9,9,SRR3997193,ChIP-Seq,36,2052872604,PRJNA336352,SAMN05509743,1432655204,MCF10A,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR150367-3)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997949,GSM2258704,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258704,"MCF10A cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
10,10,10,SRR3997195,ChIP-Seq,36,2337772644,PRJNA336352,SAMN05509741,1615807370,MCF10A,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997951,GSM2258706,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258706,"MCF10A cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
11,11,11,SRR3997198,ChIP-Seq,36,1248993072,PRJNA336352,SAMN05509738,880667008,MCF10A,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050\, lot GR233723-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997954,GSM2258709,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258709,"MCF10A cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
12,12,12,SRR3997201,ChIP-Seq,36,2457819792,PRJNA336352,SAMN05509735,1751422800,MCF10A,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997957,GSM2258712,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258712,"MCF10A cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
13,13,13,SRR3997203,ChIP-Seq,36,2158212276,PRJNA336352,SAMN05509733,1456303806,MCF10A,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997959,GSM2258714,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258714,"MCF10A cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
14,14,14,SRR3997205,ChIP-Seq,36,2128055184,PRJNA336352,SAMN05509649,1521712345,MCF10A,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997961,GSM2258716,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258716,"MCF10A cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
15,15,15,SRR3997208,ChIP-Seq,36,1119110904,PRJNA336352,SAMN05509682,775774116,MCF10A,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898\, lot GR237138-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997964,GSM2258719,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258719,"MCF10A cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
16,16,16,SRR3997210,ChIP-Seq,36,934608168,PRJNA336352,SAMN05509479,700172139,MCF10A,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997966,GSM2258721,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258721,"MCF10A cells\, input",SRP080870,Control,Input
17,17,17,SRR3997212,ChIP-Seq,36,1731763440,PRJNA336352,SAMN05509498,1165528143,MCF7,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR211895-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997968,GSM2258723,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258723,"MCF7 cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
18,18,18,SRR3997213,ChIP-Seq,36,2149498548,PRJNA336352,SAMN05509497,1596995499,MCF7,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997969,GSM2258724,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258724,"MCF7 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
19,19,19,SRR3997215,ChIP-Seq,36,3257631180,PRJNA336352,SAMN05509495,2412222991,MCF7,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997971,GSM2258726,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258726,"MCF7 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
20,20,20,SRR3997217,ChIP-Seq,36,3064397364,PRJNA336352,SAMN05509493,2208528344,MCF7,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997973,GSM2258728,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258728,"MCF7 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
21,21,21,SRR3997218,ChIP-Seq,36,1071338688,PRJNA336352,SAMN05509492,759215706,MCF7,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895\, GR193882-2)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997974,GSM2258729,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258729,"MCF7 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
22,22,22,SRR3997220,ChIP-Seq,36,1250505684,PRJNA336352,SAMN05509490,870575409,MCF7,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580\, lot GR1902371-1 and GR224370-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997976,GSM2258731,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258731,"MCF7 cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
23,23,23,SRR3997222,ChIP-Seq,36,1076783436,PRJNA336352,SAMN05509488,775210676,MCF7,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594\, lot GR201271-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997978,GSM2258733,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258733,"MCF7 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
24,24,24,SRR3997224,ChIP-Seq,36,1655292420,PRJNA336352,SAMN05509486,1099667263,MCF7,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997980,GSM2258735,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258735,"MCF7 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
25,25,25,SRR3997227,ChIP-Seq,36,1173025692,PRJNA336352,SAMN05509483,820948851,MCF7,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997983,GSM2258738,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258738,"MCF7 cells\, input",SRP080870,Control,Input
